id,name,latitude,longitude,demand
S1,London,51.5074456,-0.1277653,1800
S2,Chelmsford,51.734533,0.473053,400
S3,Brighton,50.821463,-0.140056,500
S4,Bristol,51.443014,-2.581662,800
S5,Birmingham,52.494899,-1.851844,1300
S6,Leicester,52.6362,-1.133197,600
S7,Norwich,52.628558,1.292395,450
S8,Nottingham,52.953419,-1.1496461,700
S9,Sheffield,53.3806626,-1.4702278,850
S10,Leeds,53.7974185,-1.5437941,1100
S11,Liverpool,53.3933411,-2.9166389,900
S12,Newcastle,54.9738474,-1.6131572,650
S13,Cardiff,51.4816546,-3.1791934,550
S14,Edinburgh,55.9533456,-3.1883749,600
S15,Glasgow,55.861155,-4.2501687,800
